station,date,run_hour_utc,lead_label,hrrr_tmax_f,obs_tmax_f,error_f
KMSP,2026-04-24,18,18z (~2-3h lead),61.26998413085941,61.0,0.2699841308594131
KMSY,2026-04-24,18,18z (~2-3h lead),83.53696411132816,83.0,0.5369641113281602
KOKC,2026-04-24,18,18z (~2-3h lead),75.88696411132817,76.0,-0.11303588867183123
KORD,2026-04-24,18,18z (~2-3h lead),71.7739575195313,71.0,0.7739575195312938
KPHL,2026-04-24,18,18z (~2-3h lead),77.46196411132817,80.0,-2.5380358886718284
KPHX,2026-04-24,18,18z (~2-3h lead),88.15748413085942,90.0,-1.842515869140584
KSAT,2026-04-24,18,18z (~2-3h lead),88.28915527343754,89.0,-0.7108447265624562
KSEA,2026-04-24,18,18z (~2-3h lead),58.70165527343754,63.0,-4.298344726562462
KSFO,2026-04-24,18,18z (~2-3h lead),57.413013916015665,63.0,-5.5869860839843355
KATL,2026-04-25,12,12z (~6h lead),77.27953613281254,75.0,2.279536132812538
